Review,Score,"Are there ways for you to generate more data? Spliting up sentences, would that help?",Language
Filem ini hebat! Aksi yang mendebarkan dan plot yang mengejutkan.,0.1,,Malay
"Sayang sekali, pelakon tidak memberikan persembahan terbaik. Kurang puas hati.",0.8,,Malay
Jalan cerita yang kompleks dan penuh emosi. Sungguh menghiburkan!,0.2,,Malay
Pembuat filem berjaya memberikan pengalaman yang tidak terlupakan. Sungguh memukau!,0.05,,Malay
Adegan aksi yang terlalu banyak dan mengejutkan. Terkadang agak terlalu banyak.,0.4,,Malay
Saya teruja sepanjang filem. Penceritaan yang menarik!,0.15,,Malay
Avengers: Endgame mengecewakan dan membosankan. Terlalu banyak klise.,0.85,,Malay
Integrasi elemen fiksyen sains sangat menarik. Saya suka!,0.25,,Malay
Filem ini mengujakan dengan nuansa emosi yang mendalam.,0.12,,Malay
"Secara keseluruhan, pengalaman sinematik yang luar biasa. Saya kagum!",0.08,,Malay
Saya kira filem ini tidak sehebat yang diperkatakan. Rasa kurang puas hati.,0.7,,Malay
Aksi yang menakjubkan dan plot yang penuh kejutan. Saya kagum!,0.12,,Malay
Kualiti visual filem ini sungguh mengagumkan. Saya teruja!,0.15,,Malay
Saya kurang suka cara pelakon utama menyampaikan dialog. Kurang menyakinkan.,0.75,,Malay
Jalan cerita yang rumit tetapi sangat menarik. Saya suka!,0.2,,Malay
Adegan aksi yang terlalu dramatik dan berlebihan. Tidak realistik.,0.6,,Malay
Filem ini benar-benar membuat saya terbawa suasana. Saya kagum dengan keseluruhan produksi.,0.1,,Malay
Pelakon memberikan persembahan yang hebat. Saya suka cerita ini!,0.15,,Malay
Saya tidak faham dengan plot filem ini. Terlalu kompleks.,0.7,,Malay
Kejutan besar dalam plot! Aksi yang memukau sepanjang filem.,0.1,,Malay
Visual effects hebat tetapi plot kurang menarik. Saya rasa bosan.,0.6,,Malay
Saya tidak suka bagaimana filem ini berakhir. Tidak memuaskan.,0.8,,Malay
Filem ini membuat saya gelak dan menangis. Suka dengan perasaan yang disampaikan.,0.15,,Malay
Pelakon tidak berjaya membawa watak dengan baik. Kurang kredibel.,0.7,,Malay
"Keseluruhan, filem ini hebat! Saya akan menontonnya lagi.",0.08,,Malay
Adegan aksi yang luar biasa. Saya rasa teruja sepanjang masa.,0.12,,Malay
"Sayang sekali, plot filem ini terlalu terbuka. Tidak ada penyelesaian yang memuaskan.",0.7,,Malay
Saya suka cara filem ini menggabungkan komedi dengan aksi. Sangat menghiburkan.,0.15,,Malay
Kualiti visual dan efek khas filem ini luar biasa. Saya terkesan!,0.1,,Malay
Pelakon memberikan persembahan yang sangat baik. Saya suka jalan ceritanya.,0.15,,Malay
Filem ini sangat mengecewakan. Tidak sepadan dengan hype.,0.8,,Malay
Plot yang rumit tetapi menarik. Adegan akhir yang epik!,0.1,,Malay
Adegan aksi yang terlalu berlebihan. Terlalu banyak efek khas.,0.6,,Malay
Saya tidak faham dengan twist dalam plot. Sedikit keliru.,0.7,,Malay
Filem ini benar-benar menggetarkan perasaan. Saya suka sekali!,0.12,,Malay
Visual effects filem ini luar biasa. Teruja dengan kehebatan teknikal.,0.1,,Malay
Kurangnya pengembangan watak membuatkan filem ini lemah. Tidak memuaskan.,0.75,,Malay
Saya teruja dengan cara filem ini menggabungkan elemen fiksyen sains.,0.2,,Malay
Plot yang menarik dan penuh kejutan. Saya suka twist dalam cerita.,0.15,,Malay
Filem ini mempunyai kekuatan emosional yang besar. Menyentuh hati!,0.12,,Malay
Pelakon memberikan persembahan yang tidak memuaskan. Tidak kredibel.,0.75,,Malay
Jalan cerita yang agak biasa tetapi dihidupkan dengan aksi yang hebat.,0.25,,Malay
Adegan akhir yang sangat epik! Saya teruja dengan penutupan trilogi ini.,0.08,,Malay
Filem ini hebat! Saya suka dengan pengembangan watak.,0.1,,Malay
Saya tidak suka dengan jalan cerita yang terlalu kompleks. Tidak dapat diikuti.,0.7,,Malay
Sangat gembira dengan filem ini. Aksi yang mengagumkan!,0.12,,Malay
Plot yang rumit tetapi sangat menarik. Kejutan besar di penghujung!,0.08,,Malay
Visual effects filem ini benar-benar luar biasa. Saya terkesan!,0.1,,Malay
Perasaan yang mendalam dalam filem ini membuatkan saya terharu. Saya suka!,0.12,,Malay
Kurangnya ketegangan dalam plot membuatkan saya bosan. Tidak ada elemen kejutan.,0.7,,Malay
Filem ini memberikan jawapan kepada banyak pertanyaan. Saya suka twistnya.,0.15,,Malay
Kejutan besar di tengah-tengah filem! Aksi yang mendebarkan!,0.12,,Malay
Visual effects dan animasi filem ini sungguh mengagumkan. Terkesan!,0.1,,Malay
Pelakon memberikan persembahan yang sangat baik. Saya suka dengan penutupan ceritanya.,0.12,,Malay
Filem ini tidak sehebat yang saya jangkakan. Terlalu banyak klise.,0.7,,Malay
Aksi yang menegangkan sepanjang filem. Saya teruja!,0.12,,Malay
Saya suka dengan cara filem ini menggabungkan aksi dengan unsur komedi.,0.15,,Malay
Plot yang rumit dan penuh misteri. Sangat menarik!,0.15,,Malay
Pelakon utama memberikan persembahan yang luar biasa. Saya suka karakternya.,0.12,,Malay
Filem ini mengecewakan dan tidak sepadan dengan waktu saya. Terlalu biasa.,0.8,,Malay
Twist besar di penghujung filem membuat saya terkejut. Suka dengan plot twistnya.,0.1,,Malay
Visual effects dan desain produksi filem ini luar biasa. Saya terkesan!,0.1,,Malay
Pelakon-pelakon memberikan persembahan yang luar biasa. Saya suka cerita ini!,0.12,,Malay
Aksi yang mendebarkan tetapi plot agak lemah. Tidak seimbang.,0.5,,Malay
Saya teruja dengan cara filem ini membawa kembali elemen-elemen dari filem sebelumnya.,0.15,,Malay
Kualiti visual dan efek khas filem ini luar biasa. Terkesan!,0.1,,Malay
Kurangnya pengembangan watak membuatkan filem ini lemah. Tidak memuaskan.,0.75,,Malay
Saya teruja dengan cara filem ini menggabungkan elemen fiksyen sains.,0.2,,Malay
Plot yang menarik dan penuh kejutan. Saya suka twist dalam cerita.,0.15,,Malay
Filem ini mempunyai kekuatan emosional yang besar. Menyentuh hati!,0.12,,Malay
